station_id,station_name,city,state,n_observations,missing_pm25_pct,date_range_start,date_range_end,expected_hourly_slots,continuity_pct,usable_training_rows
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,20472,25.92,2017-08-31 01:00:00,2020-01-01,20472,100.0,15159
KA008,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,17688,14.93,2018-06-25 01:00:00,2020-07-01,17688,100.0,15048
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,14338,4.82,2018-11-11 15:00:00,2020-07-01,14338,100.0,13641
UP015,"Nishant Ganj, Lucknow - UPPCB",Lucknow,Uttar Pradesh,18082,25.67,2017-12-08 15:00:00,2020-01-01,18082,100.0,13434
WB011,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,West Bengal,14463,10.47,2018-11-06 10:00:00,2020-07-01,14463,100.0,12943
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,12002,2.15,2019-02-16 23:00:00,2020-07-01,12002,100.0,11738
WB009,"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,9516,1.45,2019-05-31 13:00:00,2020-07-01,9516,100.0,9378
MH010,"Powai, Mumbai - MPCB",Mumbai,Maharashtra,9422,1.55,2019-06-04 11:00:00,2020-07-01,9422,100.0,9270
WB010,"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,9446,2.73,2019-06-03 11:00:00,2020-07-01,9446,100.0,9182
MH014,"Worli, Mumbai - MPCB",Mumbai,Maharashtra,9255,3.28,2019-06-11 10:00:00,2020-07-01,9255,100.0,8945
MH009,"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,9370,9.11,2019-06-06 15:00:00,2020-07-01,9370,100.0,8510
MH011,"Sion, Mumbai - MPCB",Mumbai,Maharashtra,9035,6.02,2019-06-20 14:00:00,2020-07-01,9035,100.0,8485
MH008,"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,8941,6.08,2019-06-24 12:00:00,2020-07-01,8941,100.0,8393
MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,9423,11.94,2019-06-04 10:00:00,2020-07-01,9423,100.0,8292
TN005,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,Tamil Nadu,9229,11.63,2019-06-12 12:00:00,2020-07-01,9229,100.0,8150
MH013,"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,9441,20.46,2019-06-03 16:00:00,2020-07-01,9441,100.0,7503
TN002,"Manali Village, Chennai - TNPCB",Chennai,Tamil Nadu,9072,17.35,2019-06-19 01:00:00,2020-07-01,9072,100.0,7492
MH006,"Borivali East, Mumbai - MPCB",Mumbai,Maharashtra,9229,23.23,2019-06-12 12:00:00,2020-07-01,9229,100.0,7080
MH012,"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,9442,28.64,2019-06-03 15:00:00,2020-07-01,9442,100.0,6732
